time,ds18b20_temp_c
2026-05-25T12:00:04.7620000,22.75
2026-05-25T12:00:10.6680000,22.75
2026-05-25T12:00:16.5750000,22.75
2026-05-25T12:00:22.4780000,22.75
2026-05-25T12:00:28.3820000,22.75
2026-05-25T12:00:34.2850000,22.75
2026-05-25T12:00:40.1910000,22.75
2026-05-25T12:00:46.0950000,22.75
2026-05-25T12:00:52.0020000,22.75
2026-05-25T12:00:57.9070000,22.75
2026-05-25T12:01:03.8110000,22.75
2026-05-25T12:01:09.7140000,22.75
2026-05-25T12:01:15.6190000,22.75
2026-05-25T12:01:21.5230000,22.75
2026-05-25T12:01:27.4290000,22.75
2026-05-25T12:01:33.3340000,22.75
2026-05-25T12:01:39.2400000,22.75
2026-05-25T12:01:45.1440000,22.75
2026-05-25T12:01:51.0500000,22.75
2026-05-25T12:01:56.9560000,22.75
2026-05-25T12:02:02.8600000,22.6875
2026-05-25T12:02:08.7630000,22.6875
2026-05-25T12:02:14.6700000,22.75
2026-05-25T12:02:20.5760000,22.75
2026-05-25T12:02:26.4810000,22.75
2026-05-25T12:02:32.3850000,22.75
2026-05-25T12:02:38.2920000,22.75
2026-05-25T12:02:44.1970000,22.75
2026-05-25T12:02:50.1030000,22.8125
2026-05-25T12:02:56.0090000,22.75
2026-05-25T12:03:01.9150000,22.75
2026-05-25T12:03:07.8200000,22.75
2026-05-25T12:03:13.7250000,22.75
2026-05-25T12:03:19.6290000,22.75
2026-05-25T12:03:25.5320000,22.75
2026-05-25T12:03:31.4360000,22.75
2026-05-25T12:03:37.3410000,22.75
2026-05-25T12:03:43.2460000,22.75
2026-05-25T12:03:49.1520000,22.75
2026-05-25T12:03:55.0580000,22.75
2026-05-25T12:04:00.9640000,22.8125
2026-05-25T12:04:06.8710000,22.75
2026-05-25T12:04:12.7770000,22.8125
2026-05-25T12:04:18.6800000,22.75
2026-05-25T12:04:24.5840000,22.75
2026-05-25T12:04:30.4900000,22.75
2026-05-25T12:04:36.3970000,22.75
2026-05-25T12:04:42.3030000,22.75
2026-05-25T12:04:48.2080000,22.75
2026-05-25T12:04:54.1160000,22.75
2026-05-25T12:05:00.0210000,22.75
2026-05-25T12:05:05.9260000,22.75
2026-05-25T12:05:11.8300000,22.75
2026-05-25T12:05:17.7330000,22.75
2026-05-25T12:05:23.6370000,22.75
2026-05-25T12:05:29.5420000,22.75
2026-05-25T12:05:35.4450000,22.75
2026-05-25T12:05:41.3510000,22.75
2026-05-25T12:05:47.2550000,22.75
2026-05-25T12:05:53.1580000,22.75
2026-05-25T12:05:59.0630000,22.75
